"success","trial_type","trial_index","time_elapsed","internal_node_id","slider","radiob"
"true","fullscreen","0","1004","0.0-0.0","",""
"","survey-html-form-2qns","1","7202","0.0-1.0-0.0","50","ID_black"
"","survey-html-form-2qns","1","7203","0.0-1.0-0.0","",""
